Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Min,Mean,Median,Max,StdDev,StdError
c6,p6,rb10,0.18333333333333332,0.18333333333333332,0.2,0.21666666666666667,0.26666666666666666,,,0.18333333333333332,0.21000000000000002,0.2,0.26666666666666666,0.03456073558887954,0.013062730213662098
c6,p7,rb10,0.19166666666666665,0.18333333333333332,0.20833333333333334,0.2583333333333333,0.2833333333333333,,,0.18333333333333332,0.225,0.20833333333333334,0.2833333333333333,0.04370036867375631,0.016517186816085244
c6,p8,rb10,0.20833333333333334,0.21666666666666667,0.225,0.3333333333333333,0.425,,,0.20833333333333334,0.2816666666666667,0.225,0.425,0.09490492318338624,0.03587068927698977
c6,p9,rb10,0.15833333333333333,0.16666666666666666,0.19166666666666665,0.18333333333333332,0.20833333333333334,,,0.15833333333333333,0.18166666666666667,0.18333333333333332,0.20833333333333334,0.01989556064385554,0.007519815093977981
c7,p1,rb10,0.16666666666666666,0.19166666666666665,0.21666666666666667,0.23333333333333334,0.2833333333333333,,,0.16666666666666666,0.21833333333333335,0.21666666666666667,0.2833333333333333,0.04425306015783918,0.016726084561603315
c7,p2,rb10,0.23333333333333334,0.30833333333333335,0.31666666666666665,0.3833333333333333,0.5,,,0.23333333333333334,0.34833333333333333,0.31666666666666665,0.5,0.1000694203485205,0.037822685726367385
c7,p3,rb10,0.20833333333333334,0.24166666666666667,0.2833333333333333,0.3,0.3333333333333333,,,0.20833333333333334,0.2733333333333333,0.2833333333333333,0.3333333333333333,0.04908892158341046,0.018553868376865013
c7,p4,rb10,0.225,0.21666666666666667,0.25,0.2833333333333333,0.3,,,0.21666666666666667,0.255,0.25,0.3,0.03613247231446466,0.013656790856857127
c7,p5,rb10,0.2,0.23333333333333334,0.2833333333333333,0.2583333333333333,0.325,,,0.2,0.26,0.2583333333333333,0.325,0.04765326151831932,0.018011239876942448
c7,p6,rb10,0.2,0.2,0.275,0.2583333333333333,0.2916666666666667,,,0.2,0.24500000000000002,0.2583333333333333,0.2916666666666667,0.042736271349860286,0.016152792279129278
c7,p7,rb10,0.19166666666666665,0.23333333333333334,0.325,0.2583333333333333,0.3,,,0.19166666666666665,0.26166666666666666,0.2583333333333333,0.325,0.05290190082701294,0.019995039067268346
c7,p8,rb10,0.225,0.25,0.275,0.26666666666666666,0.36666666666666664,,,0.225,0.27666666666666667,0.26666666666666666,0.36666666666666664,0.053812947636543124,0.02033938239451916
c7,p9,rb10,0.2,0.20833333333333334,0.2583333333333333,0.2,0.3416666666666667,,,0.2,0.2416666666666667,0.20833333333333334,0.3416666666666667,0.06095307849303246,0.023038098190909077
