Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10,Rep11,Rep12,Rep13,Rep14,Rep15,Rep16,Rep17,Rep18,Rep19,Rep20,Rep21,Min,Mean,Median,Max,StdDev,StdError
c2,p8,rb01,0.14166666666666666,0.13333333333333333,0.14166666666666666,0.13333333333333333,0.15,,,,,,,,,,,,,,,,,0.13333333333333333,0.14,0.14166666666666666,0.15,0.006972166887783961,0.001521451548625461
c2,p9,rb01,0.13333333333333333,0.058333333333333334,0.125,0.10833333333333334,0.11666666666666667,,,,,,,,,,,,,,,,,0.058333333333333334,0.10833333333333332,0.11666666666666667,0.13333333333333333,0.02946278254943948,0.006429306248420496
c3,p1,rb01,0.15,0.13333333333333333,0.125,0.13333333333333333,0.13333333333333333,,,,,,,,,,,,,,,,,0.125,0.13499999999999998,0.13333333333333333,0.15,0.009128709291752767,0.001992047682223989
c3,p2,rb01,0.14166666666666666,0.15,0.125,0.14166666666666666,0.15,,,,,,,,,,,,,,,,,0.125,0.14166666666666666,0.14166666666666666,0.15,0.010206207261596573,0.0022271770159368693
c3,p3,rb01,0.125,0.125,0.13333333333333333,0.125,0.13333333333333333,,,,,,,,,,,,,,,,,0.125,0.12833333333333333,0.125,0.13333333333333333,0.004564354645876383,0.0009960238411119945
c3,p4,rb01,0.06666666666666667,0.13333333333333333,0.18333333333333332,0.08333333333333333,0.016666666666666666,,,,,,,,,,,,,,,,,0.016666666666666666,0.09666666666666666,0.08333333333333333,0.18333333333333332,0.06390096504226937,0.013944333775567926
c3,p5,rb01,0.10833333333333334,0.14166666666666666,0.13333333333333333,0.125,0.13333333333333333,,,,,,,,,,,,,,,,,0.10833333333333334,0.12833333333333333,0.13333333333333333,0.14166666666666666,0.012638125740085914,0.002757865135538738
c3,p6,rb01,0.125,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,,,,,,,,,,,,,,,,,0.11666666666666667,0.11833333333333333,0.11666666666666667,0.125,0.0037267799624996485,0.0008132500607904441
c3,p7,rb01,0.13333333333333333,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,0.125,0.12666666666666665,0.125,0.13333333333333333,0.0037267799624996485,0.0008132500607904441
c3,p8,rb01,0.14166666666666666,0.16666666666666666,0.09166666666666666,0.14166666666666666,0.14166666666666666,,,,,,,,,,,,,,,,,0.09166666666666666,0.13666666666666666,0.14166666666666666,0.16666666666666666,0.027386127875258303,0.005976143046671968
c3,p9,rb01,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.13333333333333333,,,,,,,,,,,,,,,,,0.10833333333333334,0.11833333333333333,0.11666666666666667,0.13333333333333333,0.009128709291752767,0.001992047682223989
c4,p1,rb01,0.11666666666666667,0.075,0.13333333333333333,0.1,0.11666666666666667,,,,,,,,,,,,,,,,,0.075,0.10833333333333332,0.11666666666666667,0.13333333333333333,0.022047927592204922,0.004811252243246882
c4,p2,rb01,0.125,0.125,0.13333333333333333,0.14166666666666666,0.11666666666666667,,,,,,,,,,,,,,,,,0.11666666666666667,0.12833333333333335,0.125,0.14166666666666666,0.009501461875826149,0.002073388964700497
c4,p3,rb01,0.13333333333333333,0.125,0.09166666666666666,0.125,0.13333333333333333,,,,,,,,,,,,,,,,,0.09166666666666666,0.12166666666666666,0.125,0.13333333333333333,0.01728036779443977,0.0037708854026046353
c4,p4,rb01,0.125,0.13333333333333333,0.11666666666666667,0.13333333333333333,0.125,,,,,,,,,,,,,,,,,0.11666666666666667,0.12666666666666665,0.125,0.13333333333333333,0.006972166887783962,0.0015214515486254613
c4,p5,rb01,0.13333333333333333,0.03333333333333333,0.10833333333333334,0.11666666666666667,0.10833333333333334,,,,,,,,,,,,,,,,,0.03333333333333333,0.1,0.10833333333333334,0.13333333333333333,0.03864007706456543,0.008431956095585627
c4,p6,rb01,0.1,0.11666666666666667,0.09166666666666666,0.09166666666666666,0.1,,,,,,,,,,,,,,,,,0.09166666666666666,0.1,0.1,0.11666666666666667,0.01020620726159658,0.002227177015936871
c4,p7,rb01,0.10833333333333334,0.11666666666666667,0.10833333333333334,0.1,0.1,,,,,,,,,,,,,,,,,0.1,0.10666666666666666,0.10833333333333334,0.11666666666666667,0.006972166887783962,0.0015214515486254613
c4,p8,rb01,0.10833333333333334,0.11666666666666667,0.1,0.10833333333333334,0.10833333333333334,0.10833333333333334,,,,,,,,,,,,,,,,0.1,0.10833333333333334,0.10833333333333334,0.11666666666666667,0.005270462766947297,0.0011501092655705901
c4,p9,rb01,0.1,0.075,0.11666666666666667,0.10833333333333334,0.1,,,,,,,,,,,,,,,,,0.075,0.1,0.1,0.11666666666666667,0.015590239111558091,0.003402069087198859
c5,p1,rb01,0.10833333333333334,0.10833333333333334,0.08333333333333333,0.1,0.10833333333333334,,,,,,,,,,,,,,,,,0.08333333333333333,0.10166666666666666,0.10833333333333334,0.10833333333333334,0.010865337342004419,0.0023710109914745494
c5,p2,rb01,0.125,0.13333333333333333,0.10833333333333334,0.075,0.09166666666666666,,,,,,,,,,,,,,,,,0.075,0.10666666666666666,0.10833333333333334,0.13333333333333333,0.023863035105460593,0.005207341175341032
c5,p3,rb01,0.11666666666666667,0.125,0.11666666666666667,0.10833333333333334,0.11666666666666667,,,,,,,,,,,,,,,,,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.125,0.005892556509887895,0.001285861249684099
c5,p4,rb01,0.11666666666666667,0.08333333333333333,0.1,0.09166666666666666,0.10833333333333334,,,,,,,,,,,,,,,,,0.08333333333333333,0.1,0.1,0.11666666666666667,0.013176156917368252,0.0028752731639264772
c5,p5,rb01,0.1,0.125,0.058333333333333334,0.125,0.10833333333333334,,,,,,,,,,,,,,,,,0.058333333333333334,0.10333333333333332,0.10833333333333334,0.125,0.027386127875258306,0.005976143046671969
c5,p6,rb01,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.1,0.1,,,,,,,,,,,,,,,,,0.1,0.10500000000000001,0.10833333333333334,0.10833333333333334,0.004564354645876383,0.0009960238411119945
c5,p7,rb01,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.125,,,,,,,,,,,,,,,,,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.125,0.005892556509887895,0.001285861249684099
c5,p8,rb01,0.1,0.10833333333333334,0.10833333333333334,0.11666666666666667,0.10833333333333334,,,,,,,,,,,,,,,,,0.1,0.10833333333333335,0.10833333333333334,0.11666666666666667,0.005892556509887895,0.001285861249684099
c5,p9,rb01,0.11666666666666667,0.10833333333333334,0.1,0.10833333333333334,0.11666666666666667,,,,,,,,,,,,,,,,,0.1,0.11000000000000001,0.10833333333333334,0.11666666666666667,0.006972166887783962,0.0015214515486254613
c6,p1,rb01,0.1,0.075,0.09166666666666666,0.075,0.08333333333333333,,,,,,,,,,,,,,,,,0.075,0.08499999999999999,0.08333333333333333,0.1,0.010865337342004417,0.0023710109914745494
c6,p2,rb01,0.09166666666666666,0.1,0.09166666666666666,0.08333333333333333,0.09166666666666666,,,,,,,,,,,,,,,,,0.08333333333333333,0.09166666666666666,0.09166666666666666,0.1,0.0058925565098879,0.0012858612496841003
c6,p3,rb01,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,,,,,,,,,,,,,,,,,0.10833333333333334,0.11500000000000002,0.11666666666666667,0.11666666666666667,0.0037267799624996485,0.0008132500607904441
c6,p4,rb01,0.08333333333333333,0.06666666666666667,0.06666666666666667,0.05,0.09166666666666666,,,,,,,,,,,,,,,,,0.05,0.07166666666666667,0.06666666666666667,0.09166666666666666,0.01624465724134827,0.0035448748308138556
c6,p5,rb01,0.11666666666666667,0.11666666666666667,0.125,0.125,0.125,,,,,,,,,,,,,,,,,0.11666666666666667,0.12166666666666667,0.125,0.125,0.004564354645876383,0.0009960238411119945
